Participant ID,Nouns/Predicates,TrialNEW,List,Nr,Condition,PredType,AnswerType,Word1,Word2,Rating
1,Predicates,36,2,1,3,V,DiffSubj,helpt,helpt,300
1,Predicates,37,3,8,1,A,DiffSubj,harde,harde,300
1,Predicates,38,3,3,2,A,DiffSubj,jonge,jonge,300
1,Predicates,39,1,6,4,A,DiffSubj,nieuwe,nieuwe,300
1,Predicates,40,4,7,2,A,DiffSubj,matige,matige,300
1,Predicates,41,4,6,2,A,DiffSubj,drukke,drukke,300
1,Predicates,42,4,3,4,A,DiffPred,drukke,oranje,-222
1,Predicates,43,4,1,4,V,DiffPred,valt aan,danst,-126
1,Predicates,44,3,8,4,A,DiffSubj,bruine,bruine,300
1,Predicates,45,2,3,3,V,DiffSubj,ziet,ziet,300
1,Predicates,46,2,3,1,V,DiffPred,zingt,luistert,-141
1,Predicates,47,2,1,3,V,DiffSubj,bidt,bidt,300
1,Predicates,48,4,7,3,A,DiffSubj,glanzende,glanzende,300
1,Predicates,49,1,6,2,V,DiffPred,wint,wandelt,-153
1,Predicates,50,2,7,3,V,DiffSubj,onderzoekt,onderzoekt,300
1,Predicates,51,2,1,2,V,DiffPred,bereidt,schildert,-159
1,Predicates,52,4,1,1,V,DiffSubj,drinkt,drinkt,300
1,Predicates,53,4,1,4,A,DiffPred,botte,onbeleefde,-156
1,Predicates,54,1,3,1,A,DiffPred,verdrietige,boze,-165
1,Predicates,55,4,2,1,A,DiffPred,glimmende,glanzende,231
1,Predicates,56,2,7,2,V,DiffPred,kookt,traint,-141
1,Predicates,57,3,2,3,V,DiffSubj,verstuurt,verstuurt,300
1,Predicates,58,4,6,1,V,DiffSubj,verlaat,verlaat,300
1,Predicates,59,2,6,3,V,DiffSubj,luistert,luistert,300
1,Predicates,60,4,7,2,A,DiffSubj,geschikte,geschikte,300
1,Predicates,61,4,6,4,A,DiffPred,nieuwe,doffe,-165
1,Predicates,62,2,3,4,A,DiffSubj,gladde,gladde,300
1,Predicates,63,4,7,1,A,DiffSubj,sombere,sombere,300
1,Predicates,64,3,7,4,V,DiffPred,schrijft,vermoordt,-231
1,Predicates,65,4,7,2,V,DiffSubj,sterft,sterft,300
1,Predicates,66,4,8,3,A,DiffPred,blauwe,rode,-69
1,Predicates,67,4,8,3,A,DiffPred,rode,blauwe,-81
1,Predicates,68,3,7,2,A,DiffPred,trouwe,dankbare,60
1,Predicates,69,1,7,4,V,DiffSubj,fluit,fluit,300
1,Predicates,70,3,7,2,A,DiffSubj,dankbare,dankbare,300
1,Predicates,71,4,8,1,V,DiffSubj,vangt,vangt,300
1,Predicates,72,3,2,3,V,DiffSubj,ontvangt,ontvangt,300
1,Predicates,73,1,7,1,A,DiffPred,sombere,depressieve,249
1,Predicates,74,3,2,4,V,DiffSubj,traint,traint,300
1,Predicates,75,3,7,2,A,DiffSubj,trouwe,trouwe,300
1,Predicates,76,3,6,3,A,DiffPred,bedrieglijke,kwaadaardige,195
1,Predicates,77,1,1,1,V,DiffPred,drinkt,eet,-237
1,Predicates,78,4,7,3,V,DiffPred,verbergt,verstopt,207
1,Predicates,79,4,7,2,A,DiffPred,geschikte,matige,-195
1,Predicates,80,1,2,1,V,DiffSubj,verbergt,verbergt,300
1,Predicates,81,4,1,1,V,DiffSubj,eet,eet,300
1,Predicates,82,1,3,3,A,DiffPred,fantastische,geweldige,150
1,Predicates,83,3,8,2,V,DiffPred,valt,springt,-210
1,Predicates,84,3,3,2,A,DiffSubj,zachte,zachte,300
1,Predicates,85,2,7,4,A,DiffSubj,paarse,paarse,300
1,Predicates,86,2,3,2,V,DiffPred,geeft,besproeit,-186
1,Predicates,87,2,8,3,V,DiffPred,krijgt,koopt,-174
1,Predicates,88,1,7,1,V,DiffSubj,verdedigt,verdedigt,300
1,Predicates,89,3,7,2,A,DiffPred,dankbare,trouwe,174
1,Predicates,90,3,7,1,A,DiffPred,leuke,magere,-201
1,Predicates,91,4,7,1,V,DiffPred,beschermt,verdedigt,-192
1,Predicates,92,2,6,4,A,DiffPred,zachte,jonge,-168
1,Predicates,93,4,6,2,A,DiffSubj,oranje,oranje,300
1,Predicates,94,4,3,1,V,DiffPred,hypnotiseert,betovert,141
1,Predicates,95,4,2,4,V,DiffPred,fraudeert,sterft,-147
1,Predicates,96,1,1,3,A,DiffPred,heldhaftige,dappere,189
1,Predicates,97,1,8,4,A,DiffSubj,dramatische,dramatische,300
